date,page,visits,orders,revenue,device,channel
2025-07-01,/blog/best-headphones-2024,558,7,473.83,Desktop,Referral
2025-05-27,/product/wireless-keyboard,42,0,87.15,Mobile,Paid Search
2025-05-24,/product/wireless-headphones,308,14,1229.47,Desktop,Organic Search
2025-06-19,/about-us,227,1,65.55,Desktop,Email
2025-04-23,/,275,1,91.11,Mobile,Direct
2025-04-24,/product/laptop-charger,380,23,1145.27,Desktop,Referral
2025-05-18,/product/smartphone-case,169,3,96.23,Mobile,Organic Search
2025-04-28,/product/smartphone-case,138,4,119.51,Desktop,Organic Search
2025-06-08,/product/tablet-stand,333,12,445.09,Desktop,Paid Search
2025-06-18,/blog/mobile-accessories-trends,99,0,44.45,Mobile,Organic Search
2025-07-04,/contact,212,0,48.55,Mobile,Organic Search
2025-05-25,/product/gaming-mouse,179,16,1056.94,Desktop,Paid Search
2025-06-08,/about-us,285,0,18.94,Mobile,Social
2025-06-10,/support/warranty-info,106,0,0,Desktop,Paid Search
2025-04-26,/category/accessories,319,2,259.23,Mobile,Organic Search
2025-04-18,/category/audio,84,0,0,Mobile,Organic Search
2025-05-10,/blog/gaming-setup-guide,462,8,634.43,Desktop,Referral
2025-07-14,/category/electronics,981,14,1062.2,Tablet,Social
2025-05-04,/product/tablet-stand,157,12,385.94,Desktop,Organic Search
2025-05-06,/product/wireless-headphones,216,9,771.6,Mobile,Paid Search
2025-05-27,/product/smartphone-case,141,7,190.75,Desktop,Paid Search
2025-05-05,/product/wireless-headphones,58,4,352.89,Desktop,Email
2025-05-18,/product/wireless-keyboard,444,28,2078.75,Desktop,Direct
2025-05-04,/product/gaming-mouse,152,4,296.48,Desktop,Paid Search
2025-05-16,/support/warranty-info,71,0,0,Mobile,Organic Search
2025-06-03,/category/audio,193,2,107.47,Tablet,Social
2025-07-10,/support/shipping-policy,28,0,0,Tablet,Email
2025-05-13,/product/phone-holder,283,7,198.33,Mobile,Email
2025-04-29,/product/wireless-keyboard,126,8,653.59,Desktop,Organic Search
2025-06-22,/category/audio,169,6,287.5,Desktop,Organic Search
2025-07-02,/product/phone-holder,181,14,424.23,Desktop,Organic Search
2025-05-23,/category/electronics,179,1,103.5,Mobile,Paid Search
2025-06-07,/product/external-battery,405,40,1655.04,Desktop,Paid Search
2025-06-10,/product/wireless-headphones,98,1,162.37,Desktop,Social
2025-06-10,/product/wireless-keyboard,147,4,291.45,Desktop,Referral
2025-06-30,/category/accessories,303,4,368.62,Mobile,Organic Search
2025-07-11,/blog/wireless-vs-wired,660,7,537.32,Desktop,Social
2025-05-22,/contact,298,0,49,Mobile,Direct
2025-05-09,/support/shipping-policy,246,1,99.54,Mobile,Organic Search
2025-04-28,/category/electronics,754,13,781.21,Desktop,Organic Search
2025-06-07,/category/accessories,883,11,980,Mobile,Direct
2025-05-21,/blog/wireless-vs-wired,419,9,586.48,Desktop,Organic Search
2025-05-18,/about-us,266,0,0,Desktop,Organic Search
2025-06-09,/product/external-battery,63,1,59.15,Mobile,Direct
2025-06-03,/product/usb-cable,137,6,127.99,Mobile,Paid Search
2025-06-03,/product/tablet-stand,157,11,406.25,Desktop,Direct
2025-05-21,/category/audio,494,15,1155.2,Mobile,Paid Search
2025-05-30,/product/wireless-keyboard,297,16,1394.74,Mobile,Paid Search
2025-06-08,/product/gaming-mouse,400,24,1525.8,Mobile,Paid Search
2025-06-26,/category/electronics,815,16,915.29,Desktop,Organic Search
2025-07-16,/category/audio,555,20,950.73,Desktop,Direct
2025-04-30,/category/electronics,536,9,648.43,Desktop,Paid Search
2025-07-08,/,219,1,143.61,Tablet,Organic Search
2025-06-26,/product/usb-cable,175,2,54.81,Mobile,Social
2025-05-23,/category/computing,611,14,1115.34,Desktop,Organic Search
2025-05-18,/contact,300,0,0,Desktop,Organic Search
2025-06-06,/blog/mobile-accessories-trends,170,0,30.77,Tablet,Social
2025-07-07,/product/usb-cable,325,12,271.49,Mobile,Email
2025-06-25,/contact,44,0,0,Mobile,Organic Search
2025-05-15,/contact,261,0,0,Mobile,Paid Search
2025-06-21,/about-us,105,0,0,Mobile,Email
2025-05-18,/product/wireless-headphones,264,21,1933.67,Desktop,Organic Search
2025-06-04,/product/bluetooth-speaker,251,22,3085.65,Desktop,Paid Search
2025-04-17,/product/laptop-charger,150,4,241.21,Mobile,Email
2025-06-17,/blog/mobile-accessories-trends,748,4,345.99,Desktop,Paid Search
2025-06-05,/product/phone-holder,303,7,210.03,Mobile,Organic Search
2025-05-02,/product/external-battery,213,16,684.21,Desktop,Organic Search
2025-05-25,/blog/best-headphones-2024,426,2,199.51,Tablet,Organic Search
2025-05-05,/support/warranty-info,89,0,0,Mobile,Direct
2025-05-31,/category/audio,260,9,446.06,Desktop,Referral
2025-04-30,/blog/best-headphones-2024,162,1,129.7,Tablet,Organic Search
2025-07-01,/about-us,158,0,0,Mobile,Organic Search
2025-06-29,/product/phone-holder,268,21,593.36,Desktop,Organic Search
2025-07-11,/product/laptop-charger,102,4,273.08,Mobile,Paid Search
2025-06-05,/,154,0,0,Desktop,Organic Search
2025-06-08,/blog/best-headphones-2024,708,2,202.92,Tablet,Organic Search
2025-06-26,/product/usb-cable,121,6,122.34,Desktop,Paid Search
2025-04-21,/product/laptop-charger,499,19,941.25,Tablet,Organic Search
2025-06-29,/product/wireless-headphones,68,0,78.89,Mobile,Social
2025-06-28,/support/shipping-policy,144,1,46.36,Desktop,Direct
2025-04-27,/product/wireless-keyboard,125,4,350.17,Desktop,Direct
2025-05-14,/blog/wireless-vs-wired,701,6,473.79,Mobile,Paid Search
2025-05-13,/contact,145,0,0,Desktop,Social
2025-04-22,/support/warranty-info,284,2,133.47,Desktop,Organic Search
2025-04-24,/product/smartphone-case,452,30,764.77,Desktop,Paid Search
2025-04-21,/product/smartphone-case,138,8,192.75,Mobile,Organic Search
2025-06-07,/product/wireless-headphones,154,6,630.18,Mobile,Organic Search
2025-07-10,/contact,47,0,0,Mobile,Organic Search
2025-05-26,/about-us,87,0,0,Mobile,Paid Search
2025-06-23,/blog/mobile-accessories-trends,447,6,522.65,Tablet,Organic Search
2025-06-07,/blog/mobile-accessories-trends,53,0,0,Desktop,Organic Search
2025-07-05,/support/shipping-policy,25,0,0,Tablet,Email
2025-05-12,/product/phone-holder,266,19,619.33,Desktop,Direct
2025-05-25,/blog/mobile-accessories-trends,287,4,419.44,Mobile,Paid Search
2025-05-13,/category/electronics,252,2,108.53,Mobile,Organic Search
2025-06-17,/support/warranty-info,54,0,0,Desktop,Email
2025-07-01,/product/laptop-charger,115,6,312.4,Tablet,Direct
2025-04-27,/category/electronics,856,24,1986.26,Desktop,Organic Search
2025-04-28,/blog/wireless-vs-wired,138,0,37.84,Mobile,Email
2025-07-16,/product/laptop-charger,308,7,410.14,Mobile,Social
2025-04-19,/product/gaming-mouse,165,9,625.14,Mobile,Organic Search
2025-04-17,/product/tablet-stand,487,24,890.65,Desktop,Email
2025-04-28,/product/external-battery,57,0,35.88,Mobile,Organic Search
2025-06-14,/about-us,158,0,0,Desktop,Direct
2025-07-15,/product/smartphone-case,405,36,848.02,Desktop,Organic Search
2025-06-11,/blog/wireless-vs-wired,542,3,214.96,Mobile,Direct
2025-06-10,/product/wireless-keyboard,319,4,475.43,Mobile,Organic Search
2025-04-27,/product/bluetooth-speaker,480,21,2831.23,Mobile,Organic Search
2025-05-01,/contact,199,0,0,Desktop,Direct
2025-05-23,/product/tablet-stand,137,3,108.61,Mobile,Social
2025-05-23,/product/bluetooth-speaker,48,3,375.27,Mobile,Paid Search
2025-05-29,/product/wireless-keyboard,179,6,489.23,Desktop,Paid Search
2025-06-11,/contact,99,0,0,Desktop,Organic Search
2025-05-19,/category/accessories,395,6,336.95,Tablet,Paid Search
2025-07-09,/blog/wireless-vs-wired,777,4,256.03,Mobile,Direct
2025-05-04,/about-us,191,0,0,Mobile,Paid Search
2025-04-25,/,243,0,72.33,Mobile,Paid Search
2025-07-04,/product/phone-holder,276,14,454.27,Desktop,Direct
2025-06-10,/category/audio,669,14,986.55,Desktop,Organic Search
2025-07-02,/product/usb-cable,39,0,0,Mobile,Organic Search
2025-07-06,/,179,0,0,Tablet,Referral
2025-07-10,/category/audio,263,6,473.49,Tablet,Paid Search
2025-05-24,/product/gaming-mouse,446,35,2077.92,Desktop,Email
2025-04-28,/blog/best-headphones-2024,179,0,37.8,Mobile,Referral
2025-07-09,/category/accessories,464,7,381.24,Tablet,Email
2025-04-18,/blog/wireless-vs-wired,43,0,0,Desktop,Paid Search
2025-07-09,/product/phone-holder,66,2,90.79,Mobile,Organic Search
2025-06-04,/blog/gaming-setup-guide,683,19,1221.27,Desktop,Paid Search
2025-05-10,/product/phone-holder,30,1,48.1,Tablet,Direct
2025-04-30,/product/wireless-headphones,11,0,0,Mobile,Organic Search
2025-06-08,/category/computing,604,11,824.5,Mobile,Referral
2025-04-29,/blog/wireless-vs-wired,158,3,150.69,Desktop,Paid Search
2025-06-08,/product/tablet-stand,108,3,112.95,Mobile,Direct
2025-05-31,/contact,87,0,0,Mobile,Direct
2025-05-05,/product/tablet-stand,99,6,200.87,Desktop,Organic Search
2025-06-24,/product/phone-holder,251,3,105.55,Mobile,Social
2025-05-11,/category/accessories,670,12,691.21,Mobile,Email
2025-04-17,/product/phone-holder,57,0,33.07,Mobile,Paid Search
2025-05-21,/blog/best-headphones-2024,639,7,397.92,Mobile,Direct
2025-04-30,/,64,0,0,Mobile,Social
2025-04-20,/category/electronics,248,2,265.4,Mobile,Organic Search
2025-06-12,/product/gaming-mouse,94,7,434.57,Desktop,Organic Search
2025-05-03,/product/wireless-headphones,415,25,2244.58,Mobile,Organic Search
2025-07-07,/,189,0,70.62,Mobile,Paid Search
2025-04-22,/support/shipping-policy,242,1,69.25,Desktop,Paid Search
2025-06-25,/product/wireless-headphones,445,12,1165.18,Desktop,Organic Search
2025-04-30,/support/shipping-policy,152,0,77.17,Mobile,Paid Search
2025-05-29,/product/usb-cable,164,6,115.93,Desktop,Paid Search
2025-05-03,/blog/gaming-setup-guide,799,10,916.05,Mobile,Organic Search
2025-05-20,/product/external-battery,250,10,462.88,Mobile,Organic Search
2025-05-23,/about-us,70,0,0,Desktop,Paid Search
2025-07-08,/blog/gaming-setup-guide,710,6,430.34,Mobile,Direct
2025-04-19,/category/audio,277,6,408.78,Mobile,Referral
2025-06-27,/about-us,17,0,0,Mobile,Organic Search
2025-06-27,/support/warranty-info,64,0,0,Mobile,Organic Search
2025-07-10,/support/shipping-policy,232,0,0,Mobile,Organic Search
2025-05-17,/category/audio,660,17,951.1,Desktop,Referral
2025-05-29,/blog/mobile-accessories-trends,350,4,325.29,Mobile,Direct
2025-06-03,/support/warranty-info,297,0,63.61,Mobile,Organic Search
2025-06-25,/product/phone-holder,105,6,188.45,Desktop,Organic Search
2025-06-09,/support/shipping-policy,225,0,32.87,Mobile,Direct
2025-05-25,/category/accessories,965,10,827.75,Mobile,Organic Search
2025-06-25,/category/computing,65,0,61.12,Tablet,Direct
2025-06-05,/category/electronics,480,7,397.91,Mobile,Direct
