date,page,query,clicks,impressions,ctr,position
7/7/25,/product/laptop-charger,wireless headphones,75,1568,0.0478,8.4
5/4/25,/product/laptop-charger,usb c cable,233,1566,0.1488,15
7/1/25,/category/computing,bluetooth speaker,25,744,0.0336,11.6
6/20/25,/support/shipping-policy,wireless headphones,28,1249,0.0224,38.6
7/15/25,/blog/mobile-accessories-trends,mobile accessories,67,1102,0.0608,26.9
4/17/25,/product/tablet-stand,computer accessories,92,915,0.1005,9.1
5/14/25,/category/electronics,laptop charger,68,1259,0.054,7.9
5/31/25,/support/shipping-policy,phone holder,10,188,0.0532,31.4
6/4/25,/product/smartphone-case,gaming mouse review,85,650,0.1308,16.6
6/2/25,/support/warranty-info,wireless keyboard,3,242,0.0124,36.5
5/24/25,/product/smartphone-case,usb cable,56,1824,0.0307,11.4
6/14/25,/about-us,wireless vs wired headphones,14,433,0.0323,24.2
7/11/25,/product/phone-holder,computer accessories,41,1968,0.0208,16.4
5/8/25,/blog/mobile-accessories-trends,audio equipment,51,1202,0.0424,22.8
5/21/25,/about-us,computer accessories,31,1240,0.025,37.4
4/24/25,/product/usb-cable,bluetooth speaker,85,1698,0.0501,11.8
4/25/25,/product/wireless-keyboard,laptop accessories,166,1844,0.09,7.7
6/19/25,/category/audio,wireless charging pad,93,4258,0.0218,12.9
5/18/25,/blog/mobile-accessories-trends,gaming mouse review,119,1276,0.0933,36.7
6/7/25,/category/accessories,usb cable,85,1633,0.0521,19.8
4/23/25,/product/laptop-charger,gaming mouse,45,1335,0.0337,20.4
6/10/25,/support/shipping-policy,smartphone case,27,888,0.0304,33.8
6/15/25,/blog/gaming-setup-guide,phone holder,15,2466,0.0061,29.8
5/1/25,/contact,gaming mouse review,24,646,0.0372,14.5
6/11/25,/product/tablet-stand,electronics online,7,56,0.125,24.4
5/9/25,/blog/gaming-setup-guide,laptop charger,162,2761,0.0587,34.9
6/20/25,/support/shipping-policy,wireless keyboard,14,413,0.0339,40.5
6/25/25,/blog/gaming-setup-guide,wireless headphones,175,2653,0.066,23.6
5/1/25,/category/accessories,external battery,34,2461,0.0138,12.2
6/28/25,/product/smartphone-case,smartphone case,129,1548,0.0833,21
